route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url
2121A,HSL,121A,Kamppi-Olari-Latokaski,,701,http://aikataulut.hsl.fi/linjat/fi/b121A.html
2124,HSL,124,Tapiola (M)-Niittykumpu (M)-Olari-Espoonlahti (M),,701,http://aikataulut.hsl.fi/linjat/fi/b124.html
2125,HSL,125,Tapiola (M)-Niittykumpu (M)-Olari-Nöykkiö-Espoonlahti (M),,701,http://aikataulut.hsl.fi/linjat/fi/b125.html
2125N,HSL,125N,Kamppi-Tapiola (M)-Niittykumpu (M)-Olari- Latokaski,,701,http://aikataulut.hsl.fi/linjat/fi/b125N.html
2133,HSL,133,Friisilä-Matinkylä (M)-Henttaa,,701,http://aikataulut.hsl.fi/linjat/fi/b133.html
2134N,HSL,134N,Kamppi-Niittykumpu (M)-Espoon keskus-Suvela-Tuomarila,,701,http://aikataulut.hsl.fi/linjat/fi/b134N.html
2137,HSL,137,Matinkylä (M)-Matinkallio-Piispankylä-Kuitinmäki,,704,http://aikataulut.hsl.fi/linjat/fi/b137.html
2138,HSL,138,Matinkylä (M)-Nuottaniemi-Matinkallio,,704,http://aikataulut.hsl.fi/linjat/fi/b138.html
2146N,HSL,146N,Kamppi-Kivenlahti-Saunalahti,,701,http://aikataulut.hsl.fi/linjat/fi/b146N.html
2147N,HSL,147N,Kamppi-Kivenlahti,,701,http://aikataulut.hsl.fi/linjat/fi/b147N.html
2148,HSL,148,Espoonlahden keskus-Soukka-Iivisniemi,,704,http://aikataulut.hsl.fi/linjat/fi/b148.html
2149,HSL,149,Espoonlahden keskus-Kivenlahti,,704,http://aikataulut.hsl.fi/linjat/fi/b149.html
2158,HSL,158,Matinkylä (M)-Nöykkiö-Tillinmäki-Espoonlahti (M),,701,http://aikataulut.hsl.fi/linjat/fi/b158.html
2159,HSL,159,Matinkylä (M)-Latokaski,,701,http://aikataulut.hsl.fi/linjat/fi/b159.html
2162,HSL,162,Espoonlahti (M)-Kivenlahti (M)-Saunalahti-Kauklahti,,701,http://aikataulut.hsl.fi/linjat/fi/b162.html
2163,HSL,163,Suvisaaristo-Espoonlahti (M)-Saunalahti-Kurttila-Kauklahti,,701,http://aikataulut.hsl.fi/linjat/fi/b163.html
2163K,HSL,163K,Suvisaaristo-Espoonlahti (M)-Saunalahti-Kurttila-Kauklahti,,701,http://aikataulut.hsl.fi/linjat/fi/b163K.html
2164,HSL,164,Kamppi-Saunalahti-Kurttila,,701,http://aikataulut.hsl.fi/linjat/fi/b164.html
2164K,HSL,164K,Kamppi-Saunalahti-Tillinmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b164K.html
2165,HSL,165,Espoonlahti (M)-Kivenlahti (M)-Saunalahti-Kauklahti-Vanttila,,701,http://aikataulut.hsl.fi/linjat/fi/b165.html
2165N,HSL,165N,Kamppi-Saunalahti-Kauklahti,,701,http://aikataulut.hsl.fi/linjat/fi/b165N.html
2166,HSL,166,Lasilaakso-Kauklahti-Bassenkylä,,701,http://aikataulut.hsl.fi/linjat/fi/e166b.html
2166K,HSL,166K,Lasilaakso-Kauklahti-Bassenkylä,,701,http://aikataulut.hsl.fi/linjat/fi/e166b.html
2167,HSL,167,Lasilaakso-Kauklahti-Järvikylä,,701,http://aikataulut.hsl.fi/linjat/fi/b167.html
2168,HSL,168,Espoon keskus-Mikkelä-Kauklahti,,704,http://aikataulut.hsl.fi/linjat/fi/b168.html
2169,HSL,169,Espoon keskus-Suvela,,704,http://aikataulut.hsl.fi/linjat/fi/b169.html
2200,HSL,200,Elielinaukio-Leppävaara-Espoon keskus,,702,http://aikataulut.hsl.fi/linjat/fi/b200.html
2200N,HSL,200N,Elielinaukio-Leppävaara-Espoon keskus,,701,http://aikataulut.hsl.fi/linjat/fi/b200N.html
2201,HSL,201,Leppävaara-Mäkkylä-Pitäjänmäki- Pajamäki,,704,http://aikataulut.hsl.fi/linjat/fi/b201.html
